festival_id,name,capacity,start_date,end_date,has_visitor_camp,status,city_id
71,Crystal Groove Arena,93312,2025-11-08,2025-11-17,True,Zavrsen,559
72,Silent Era Hill,97242,2025-11-19,2025-11-29,True,Zavrsen,330
73,Cosmic Pulse Field,60929,2025-11-16,2025-11-20,True,Zavrsen,51
74,Sunset Rhythm Beach,65519,2025-11-05,2025-11-07,True,Zavrsen,414
75,Mystic Wave Theater,33900,2025-12-20,2025-12-30,False,Planiran,176
76,Midnight Rhythm Hall,75092,2025-12-14,2025-12-21,False,Planiran,937
77,Jazz Harmony Park,1762,2025-12-01,2025-12-09,True,Aktivan,845
78,Neon Vibes Plaza,43855,2025-12-28,2026-01-03,True,Planiran,897
79,Nova Storm Garden,36750,2025-11-22,2025-11-27,True,Zavrsen,898
80,Solar Rhythm Court,59017,2025-12-22,2025-12-23,False,Planiran,128
81,Nova Aura Theater,89446,2025-12-06,2025-12-10,False,Planiran,978
82,Wild Era Hill,79981,2025-11-26,2025-12-01,False,Zavrsen,901
83,Electric Fest Oasis,27515,2025-11-28,2025-12-02,True,Zavrsen,7
84,Solar Echo Dome,59445,2025-11-09,2025-11-18,False,Zavrsen,802
85,Harmony Melody Theater,54082,2025-11-17,2025-11-19,False,Zavrsen,281
86,Wild Echo Beach,31425,2025-11-07,2025-11-17,False,Zavrsen,440
87,Lunar Echo Field,33726,2025-11-18,2025-11-27,False,Zavrsen,181
88,Jazz Wave Oasis,69014,2025-11-11,2025-11-20,True,Zavrsen,356
89,Harmony Melody Court,28324,2025-12-25,2025-12-30,False,Planiran,428
90,Sunset Pulse Arena,49250,2025-11-25,2025-11-27,True,Zavrsen,278
91,Solar Groove Oasis,47687,2025-11-01,2025-11-04,False,Zavrsen,922
92,Cosmic Fest Hall,27993,2025-12-04,2025-12-11,True,Aktivan,109
93,Wild Groove Park,73381,2025-11-28,2025-12-04,True,Aktivan,682
94,Midnight Melody Garden,96362,2025-12-29,2026-01-04,False,Planiran,200
95,Radiant Echo Arena,15371,2025-12-01,2025-12-08,True,Aktivan,527
96,Golden Era Plaza,58451,2025-12-17,2025-12-21,True,Planiran,959
97,Electric Storm Garden,63421,2025-11-20,2025-11-27,False,Zavrsen,531
98,Wild Aura Valley,34714,2025-11-06,2025-11-16,True,Zavrsen,976
99,Lunar Tempo Hill,57684,2025-12-16,2025-12-19,True,Planiran,910
100,Harmony Fest Oasis,66741,2025-12-14,2025-12-17,True,Planiran,684
101,Mystic Fest Oasis,93136,2025-12-26,2025-12-28,True,Planiran,272
102,Sunset Beats Oasis,68763,2025-11-08,2025-11-10,False,Zavrsen,873
103,Golden Vibes Theater,99009,2025-11-20,2025-11-27,True,Zavrsen,355
104,Mystic Tempo Park,86452,2025-12-07,2025-12-09,True,Planiran,210
105,Silent Melody Beach,54676,2025-12-10,2025-12-11,True,Planiran,935
106,Dream Fest Park,55699,2025-11-06,2025-11-07,False,Zavrsen,64
107,Mystic Aura Oasis,95194,2025-11-19,2025-11-29,False,Zavrsen,283
108,Jazz Pulse Plaza,88300,2025-12-22,2025-12-24,False,Planiran,823
109,Neon Pulse Hall,71730,2025-11-04,2025-11-08,False,Zavrsen,178
110,Wild Beats Field,89438,2025-12-01,2025-12-03,True,Zavrsen,9
111,Crystal Tempo Theater,51652,2025-11-16,2025-11-20,True,Zavrsen,681
112,Nova Sound Hall,8525,2025-12-13,2025-12-14,False,Planiran,848
113,Harmony Rhythm Field,5150,2025-12-19,2025-12-21,False,Planiran,331
114,Sunset Pulse Theater,56720,2025-12-21,2025-12-27,True,Planiran,311
115,Radiant Aura Beach,52282,2025-11-03,2025-11-08,False,Zavrsen,585
116,Electric Harmony Park,52076,2025-12-10,2025-12-20,False,Planiran,520
117,Radiant Echo Dome,55726,2025-12-24,2026-01-02,True,Planiran,512
118,Crystal Tempo Field,26374,2025-11-19,2025-11-24,True,Zavrsen,917
119,Rock Jam Garden,61724,2025-11-13,2025-11-17,False,Zavrsen,208
120,Dream Rhythm Theater,80280,2025-11-13,2025-11-18,False,Zavrsen,679
121,Electric Soul Oasis,57345,2025-12-26,2026-01-03,False,Planiran,132
122,Dream Jam Hill,86084,2025-11-20,2025-11-26,True,Zavrsen,818
123,Mystic Wave Theater,10079,2025-11-22,2025-11-25,True,Zavrsen,924
124,Nova Soul Garden,65376,2025-12-21,2025-12-30,True,Planiran,194
125,Golden Harmony Hill,21781,2025-12-03,2025-12-05,False,Aktivan,721
126,Wild Era Oasis,17247,2025-12-04,2025-12-10,False,Aktivan,782
127,Solar Rhythm Field,82478,2025-12-04,2025-12-07,True,Aktivan,675
128,Radiant Sound Hall,96705,2025-11-08,2025-11-14,True,Zavrsen,985
129,Jazz Aura Garden,22241,2025-11-03,2025-11-09,False,Zavrsen,716
130,Cosmic Soul Square,92560,2025-12-06,2025-12-13,True,Planiran,625
131,Golden Aura Garden,36803,2025-11-18,2025-11-26,True,Zavrsen,588
132,Sunset Fest Hill,12854,2025-11-10,2025-11-12,True,Zavrsen,426
133,Jazz Harmony Hall,37597,2025-11-24,2025-11-27,False,Zavrsen,484
134,Jazz Rhythm Stage,83457,2025-12-27,2026-01-06,False,Planiran,957
135,Cosmic Melody Arena,21357,2025-11-11,2025-11-13,False,Zavrsen,755
136,Rock Storm Stage,47236,2025-11-02,2025-11-10,True,Zavrsen,448
137,Neon Beats Court,39257,2025-12-13,2025-12-22,False,Planiran,310
138,Cosmic Rhythm Park,29364,2025-11-23,2025-11-30,True,Zavrsen,190
139,Dream Rhythm Pier,9884,2025-12-07,2025-12-17,True,Planiran,774
140,Mystic Harmony Arena,57829,2025-11-03,2025-11-13,True,Zavrsen,58
141,Rock Groove Pier,91378,2025-11-29,2025-12-01,False,Zavrsen,628
142,Golden Era Garden,49470,2025-12-16,2025-12-24,True,Planiran,381
143,Silent Aura Beach,68307,2025-11-24,2025-11-29,True,Zavrsen,541
144,Midnight Sound Hill,80552,2025-11-04,2025-11-13,True,Zavrsen,934
145,Cosmic Melody Plaza,62767,2025-12-28,2026-01-04,True,Planiran,684
146,Neon Echo Field,31436,2025-12-25,2025-12-29,True,Planiran,201
147,Radiant Pulse Hall,69275,2025-12-09,2025-12-14,True,Planiran,784
148,Rock Storm Theater,99231,2025-11-03,2025-11-06,True,Zavrsen,652
149,Nova Vibes Square,17966,2025-11-20,2025-11-26,True,Zavrsen,195
150,Golden Soul Plaza,10760,2025-11-16,2025-11-25,True,Zavrsen,403
151,Midnight Storm Hill,29910,2025-11-15,2025-11-21,True,Zavrsen,183
152,Midnight Melody Valley,54771,2025-12-29,2026-01-07,False,Planiran,894
153,Dream Groove Court,14885,2025-12-16,2025-12-24,True,Planiran,879
154,Solar Pulse Court,96377,2025-12-03,2025-12-06,True,Aktivan,104
155,Electric Beats Dome,40056,2025-12-18,2025-12-28,True,Planiran,766
156,Neon Vibes Garden,65471,2025-12-10,2025-12-12,False,Planiran,677
157,Cosmic Rhythm Garden,31840,2025-11-21,2025-11-24,True,Zavrsen,306
158,Lunar Sound Park,90941,2025-12-24,2025-12-29,False,Planiran,270
159,Midnight Pulse Valley,9354,2025-11-14,2025-11-17,True,Zavrsen,533
160,Crystal Rhythm Park,61535,2025-11-23,2025-11-27,True,Zavrsen,338
161,Nova Era Garden,6557,2025-12-10,2025-12-15,False,Planiran,809
162,Golden Storm Dome,25504,2025-11-30,2025-12-06,False,Aktivan,971
163,Mystic Fest Hall,20961,2025-12-27,2026-01-01,True,Planiran,313
164,Neon Harmony Square,69128,2025-12-28,2026-01-04,False,Planiran,506
165,Golden Harmony Stage,47056,2025-12-27,2025-12-29,False,Planiran,768
166,Nova Echo Arena,25569,2025-11-18,2025-11-26,False,Zavrsen,263
167,Lunar Melody Pier,43349,2025-11-16,2025-11-19,False,Zavrsen,946
168,Sunset Era Court,87123,2025-12-30,2026-01-07,False,Planiran,193
169,Harmony Jam Stage,50968,2025-12-23,2025-12-24,True,Planiran,206
170,Solar Soul Dome,16389,2025-11-24,2025-11-27,False,Zavrsen,736
171,Electric Beats Oasis,4124,2025-11-25,2025-12-05,True,Aktivan,896
172,Crystal Harmony Theater,5642,2025-11-14,2025-11-22,False,Zavrsen,39
173,Electric Groove Field,70951,2025-12-23,2025-12-28,True,Planiran,306
174,Silent Horizon Field,78425,2025-12-26,2025-12-31,False,Planiran,178
175,Crystal Vibes Hill,16992,2025-12-17,2025-12-22,True,Planiran,287
176,Rock Echo Dome,82075,2025-12-14,2025-12-21,True,Planiran,316
177,Radiant Harmony Oasis,50143,2025-12-31,2026-01-05,False,Planiran,397
178,Neon Vibes Field,3027,2025-12-27,2026-01-03,True,Planiran,362
179,Solar Harmony Park,92879,2025-12-08,2025-12-11,False,Planiran,560
180,Dream Wave Park,10659,2025-11-18,2025-11-27,True,Zavrsen,214
181,Nova Pulse Dome,41735,2025-12-01,2025-12-03,False,Zavrsen,744
182,Cosmic Beats Square,67641,2025-11-16,2025-11-22,False,Zavrsen,55
183,Cosmic Sound Garden,59723,2025-12-14,2025-12-16,False,Planiran,207
184,Sunset Fest Square,41183,2025-11-27,2025-11-29,False,Zavrsen,47
185,Nova Melody Court,56077,2025-12-13,2025-12-20,False,Planiran,816
186,Midnight Vibes Arena,97408,2025-12-12,2025-12-20,False,Planiran,226
187,Golden Sound Park,93326,2025-12-12,2025-12-13,False,Planiran,193
188,Neon Harmony Pier,18662,2025-12-03,2025-12-09,False,Aktivan,303
189,Jazz Jam Court,83459,2025-11-04,2025-11-13,True,Zavrsen,330
190,Solar Wave Valley,75585,2025-12-25,2025-12-31,True,Planiran,275
191,Golden Wave Plaza,79940,2025-11-01,2025-11-07,True,Zavrsen,520
192,Sunset Melody Park,40797,2025-11-29,2025-12-07,True,Aktivan,863
193,Silent Tempo Park,7986,2025-11-15,2025-11-17,False,Zavrsen,655
194,Nova Horizon Park,29896,2025-11-28,2025-12-03,True,Zavrsen,356
195,Mystic Harmony Hall,48253,2025-12-07,2025-12-14,False,Planiran,89
196,Silent Beats Stage,78235,2025-11-29,2025-12-08,False,Aktivan,809
197,Radiant Melody Court,17980,2025-12-20,2025-12-30,False,Planiran,126
198,Radiant Echo Court,35944,2025-12-26,2026-01-05,False,Planiran,116
199,Neon Beats Square,88208,2025-11-03,2025-11-13,False,Zavrsen,839
200,Lunar Era Theater,74493,2025-11-16,2025-11-24,False,Zavrsen,229
201,Rock Pulse Oasis,88560,2025-11-23,2025-11-24,True,Zavrsen,506
202,Lunar Groove Theater,3667,2025-12-21,2025-12-27,False,Planiran,919
203,Mystic Soul Hill,3880,2025-12-31,2026-01-08,False,Planiran,962
204,Lunar Beats Arena,41954,2025-11-13,2025-11-22,True,Zavrsen,730
205,Sunset Storm Theater,22372,2025-11-29,2025-12-08,False,Aktivan,245
206,Crystal Sound Park,18316,2025-11-03,2025-11-09,True,Zavrsen,635
207,Cosmic Aura Oasis,38922,2025-12-23,2025-12-29,False,Planiran,340
208,Dream Rhythm Pier,20476,2025-12-21,2025-12-26,False,Planiran,174
209,Cosmic Echo Hall,12848,2025-11-23,2025-11-28,False,Zavrsen,531
210,Neon Wave Hall,98564,2025-11-07,2025-11-14,True,Zavrsen,225
211,Electric Wave Field,61151,2025-12-30,2026-01-02,True,Planiran,327
212,Dream Wave Court,32704,2025-11-27,2025-12-02,True,Zavrsen,673
213,Electric Melody Plaza,85235,2025-11-03,2025-11-13,False,Zavrsen,436
214,Jazz Wave Square,94803,2025-11-18,2025-11-28,True,Zavrsen,738
215,Rock Beats Beach,64771,2025-12-27,2026-01-01,False,Planiran,564
216,Neon Vibes Court,7802,2025-11-24,2025-12-03,False,Zavrsen,429
217,Dream Storm Garden,88419,2025-11-27,2025-12-07,False,Aktivan,529
218,Jazz Jam Garden,56211,2025-11-15,2025-11-16,False,Zavrsen,214
219,Cosmic Soul Field,73865,2025-12-13,2025-12-16,False,Planiran,966
220,Jazz Rhythm Oasis,89391,2025-11-10,2025-11-12,False,Zavrsen,113
221,Cosmic Aura Valley,57660,2025-12-09,2025-12-13,True,Planiran,394
222,Nova Beats Plaza,31666,2025-11-11,2025-11-13,True,Zavrsen,420
223,Lunar Sound Plaza,91951,2025-12-11,2025-12-18,False,Planiran,97
224,Mystic Aura Pier,85631,2025-12-29,2026-01-04,False,Planiran,745
225,Dream Fest Arena,37728,2025-11-03,2025-11-10,False,Zavrsen,116
226,Jazz Echo Field,46296,2025-12-28,2026-01-01,False,Planiran,663
227,Nova Era Stage,47814,2025-11-30,2025-12-10,True,Aktivan,522
228,Electric Era Plaza,87759,2025-12-21,2025-12-22,True,Planiran,330
229,Electric Storm Arena,90159,2025-12-30,2026-01-07,True,Planiran,500
230,Midnight Aura Theater,34691,2025-12-08,2025-12-16,True,Planiran,932
231,Radiant Groove Theater,35604,2025-12-25,2025-12-28,True,Planiran,618
232,Rock Soul Oasis,50102,2025-12-26,2025-12-31,True,Planiran,207
233,Mystic Beats Pier,90491,2025-12-19,2025-12-26,True,Planiran,329
234,Dream Soul Arena,24667,2025-12-29,2025-12-30,False,Planiran,184
235,Nova Melody Garden,72322,2025-11-22,2025-11-26,False,Zavrsen,785
236,Golden Tempo Oasis,21735,2025-11-30,2025-12-08,True,Aktivan,206
237,Lunar Storm Arena,21,2025-12-05,2025-12-12,False,Planiran,612
238,Dream Pulse Hall,11815,2025-11-13,2025-11-16,True,Zavrsen,955
239,Mystic Fest Park,35110,2025-11-16,2025-11-22,False,Zavrsen,787
240,Neon Echo Beach,86630,2025-12-24,2026-01-02,False,Planiran,607
241,Lunar Jam Court,38777,2025-12-28,2026-01-04,False,Planiran,251
242,Jazz Rhythm Square,20972,2025-11-01,2025-11-06,True,Zavrsen,385
243,Lunar Pulse Square,39012,2025-12-14,2025-12-16,False,Planiran,122
244,Neon Groove Theater,7762,2025-11-22,2025-11-27,False,Zavrsen,261
245,Cosmic Aura Stage,14606,2025-11-29,2025-12-06,False,Aktivan,230
246,Neon Melody Oasis,98896,2025-12-18,2025-12-23,True,Planiran,735
247,Jazz Tempo Field,12971,2025-12-03,2025-12-10,True,Aktivan,319
248,Radiant Storm Arena,71118,2025-11-16,2025-11-23,False,Zavrsen,517
249,Crystal Sound Hall,88070,2025-12-20,2025-12-25,True,Planiran,574
250,Lunar Harmony Garden,45558,2025-12-14,2025-12-17,True,Planiran,275
251,Wild Pulse Arena,83430,2025-12-28,2026-01-03,False,Planiran,688
252,Wild Echo Dome,63096,2025-11-04,2025-11-14,True,Zavrsen,503
253,Radiant Wave Theater,31600,2025-12-05,2025-12-10,False,Planiran,338
254,Rock Storm Court,25789,2025-11-24,2025-12-01,False,Zavrsen,27
255,Nova Jam Plaza,95410,2025-12-25,2026-01-01,True,Planiran,342
256,Silent Melody Oasis,18422,2025-11-13,2025-11-18,True,Zavrsen,819
257,Golden Melody Plaza,1070,2025-11-27,2025-11-28,True,Zavrsen,540
258,Nova Horizon Dome,1579,2025-12-19,2025-12-25,True,Planiran,147
259,Neon Harmony Oasis,21882,2025-11-07,2025-11-12,True,Zavrsen,691
260,Lunar Era Court,33060,2025-12-08,2025-12-16,False,Planiran,501
261,Radiant Aura Plaza,46099,2025-12-28,2026-01-01,False,Planiran,979
262,Dream Sound Hall,15755,2025-11-28,2025-12-03,True,Zavrsen,560
263,Silent Era Beach,52024,2025-12-19,2025-12-20,False,Planiran,766
264,Radiant Melody Theater,27727,2025-12-29,2026-01-08,False,Planiran,532
265,Sunset Vibes Plaza,27913,2025-11-30,2025-12-02,True,Zavrsen,231
266,Golden Groove Plaza,17106,2025-11-18,2025-11-20,True,Zavrsen,456
267,Rock Harmony Dome,50194,2025-11-01,2025-11-06,True,Zavrsen,8
268,Cosmic Echo Hall,72351,2025-11-09,2025-11-16,False,Zavrsen,53
269,Sunset Storm Plaza,34334,2025-11-06,2025-11-15,True,Zavrsen,27
270,Golden Harmony Valley,53625,2025-12-10,2025-12-17,True,Planiran,199
271,Sunset Soul Field,82918,2025-11-16,2025-11-24,False,Zavrsen,356
272,Wild Harmony Plaza,12706,2025-12-25,2026-01-04,False,Planiran,264
273,Crystal Beats Pier,81909,2025-12-21,2025-12-28,False,Planiran,251
274,Golden Echo Oasis,84979,2025-12-07,2025-12-15,False,Planiran,207
275,Crystal Soul Beach,41104,2025-11-30,2025-12-03,True,Zavrsen,227
276,Dream Rhythm Stage,30494,2025-11-11,2025-11-13,False,Zavrsen,929
277,Electric Fest Arena,14761,2025-11-23,2025-11-24,False,Zavrsen,946
278,Crystal Storm Stage,83634,2025-12-20,2025-12-30,False,Planiran,385
279,Dream Melody Park,33306,2025-12-20,2025-12-23,True,Planiran,652
280,Midnight Beats Oasis,1554,2025-11-29,2025-12-04,True,Aktivan,387
281,Mystic Rhythm Stage,78309,2025-12-31,2026-01-09,False,Planiran,381
282,Cosmic Aura Hall,50272,2025-11-16,2025-11-22,True,Zavrsen,459
283,Cosmic Harmony Valley,16192,2025-11-13,2025-11-17,False,Zavrsen,343
284,Cosmic Melody Hall,69744,2025-12-08,2025-12-17,True,Planiran,634
285,Rock Soul Field,36437,2025-11-19,2025-11-26,True,Zavrsen,114
286,Sunset Rhythm Park,19969,2025-11-22,2025-11-29,True,Zavrsen,586
287,Harmony Groove Field,36412,2025-11-06,2025-11-16,True,Zavrsen,681
288,Cosmic Rhythm Hill,20946,2025-11-24,2025-11-26,False,Zavrsen,815
289,Wild Era Dome,25610,2025-11-04,2025-11-05,True,Zavrsen,103
290,Wild Echo Court,73051,2025-11-11,2025-11-14,False,Zavrsen,846
291,Solar Melody Dome,94517,2025-12-18,2025-12-19,True,Planiran,187
292,Radiant Tempo Beach,86779,2025-12-07,2025-12-09,True,Planiran,461
293,Dream Pulse Field,35564,2025-11-25,2025-11-30,False,Zavrsen,489
294,Midnight Rhythm Pier,80094,2025-11-18,2025-11-21,False,Zavrsen,216
295,Dream Pulse Court,69621,2025-12-11,2025-12-14,False,Planiran,88
296,Wild Jam Court,8396,2025-12-31,2026-01-10,True,Planiran,80
297,Solar Storm Park,43751,2025-12-17,2025-12-20,True,Planiran,520
298,Silent Storm Hall,46820,2025-12-02,2025-12-12,False,Aktivan,129
299,Dream Fest Dome,32351,2025-12-20,2025-12-26,True,Planiran,542
300,Cosmic Echo Valley,36625,2025-11-13,2025-11-18,True,Zavrsen,487
301,Radiant Vibes Field,26616,2025-12-16,2025-12-20,False,Planiran,492
302,Wild Horizon Hill,7417,2025-11-16,2025-11-19,False,Zavrsen,849
303,Neon Melody Plaza,42634,2025-12-19,2025-12-22,True,Planiran,45
304,Harmony Vibes Dome,96053,2025-11-04,2025-11-08,True,Zavrsen,502
305,Midnight Rhythm Oasis,27293,2025-11-21,2025-11-28,False,Zavrsen,88
306,Nova Aura Stage,99913,2025-12-27,2025-12-28,False,Planiran,95
307,Jazz Horizon Field,50807,2025-11-27,2025-12-01,True,Zavrsen,114
308,Cosmic Rhythm Garden,83004,2025-12-26,2025-12-28,False,Planiran,629
309,Lunar Harmony Hill,36871,2025-11-04,2025-11-13,True,Zavrsen,396
310,Sunset Horizon Theater,29246,2025-11-06,2025-11-11,True,Zavrsen,703
311,Nova Beats Hall,18757,2025-11-20,2025-11-24,True,Zavrsen,508
312,Lunar Fest Pier,5570,2025-12-25,2026-01-04,False,Planiran,190
313,Jazz Aura Pier,46431,2025-11-06,2025-11-08,False,Zavrsen,968
314,Silent Pulse Theater,78426,2025-12-14,2025-12-23,False,Planiran,808
315,Wild Era Plaza,67459,2025-12-30,2026-01-02,True,Planiran,179
316,Golden Aura Park,23177,2025-12-20,2025-12-28,False,Planiran,863
317,Radiant Fest Pier,38788,2025-12-05,2025-12-15,True,Planiran,625
318,Lunar Echo Arena,17070,2025-12-19,2025-12-20,True,Planiran,207
319,Lunar Rhythm Beach,84846,2025-11-28,2025-12-03,False,Zavrsen,254
320,Silent Groove Plaza,53146,2025-11-18,2025-11-22,True,Zavrsen,557
321,Crystal Melody Court,4009,2025-12-24,2025-12-25,False,Planiran,12
322,Solar Wave Valley,62091,2025-12-29,2026-01-02,True,Planiran,447
323,Lunar Groove Court,72267,2025-12-05,2025-12-13,True,Planiran,797
324,Neon Soul Field,65247,2025-11-20,2025-11-29,True,Zavrsen,352
325,Wild Era Stage,82254,2025-11-26,2025-11-30,False,Zavrsen,449
326,Wild Beats Arena,93099,2025-11-25,2025-12-05,True,Aktivan,801
327,Solar Jam Hill,60191,2025-11-08,2025-11-09,True,Zavrsen,449
328,Silent Storm Oasis,59082,2025-12-26,2025-12-27,True,Planiran,38
329,Jazz Pulse Dome,2123,2025-11-25,2025-11-30,False,Zavrsen,428
330,Radiant Rhythm Valley,7344,2025-12-02,2025-12-09,True,Aktivan,870
331,Lunar Tempo Dome,85771,2025-12-11,2025-12-14,True,Planiran,482
332,Crystal Beats Plaza,5138,2025-11-07,2025-11-14,True,Zavrsen,146
333,Harmony Wave Court,75615,2025-11-28,2025-12-03,False,Zavrsen,532
334,Jazz Storm Stage,68780,2025-12-23,2025-12-26,False,Planiran,236
335,Mystic Horizon Beach,14210,2025-12-09,2025-12-18,False,Planiran,316
336,Nova Soul Arena,45434,2025-11-29,2025-12-02,False,Zavrsen,607
337,Mystic Rhythm Park,15633,2025-12-31,2026-01-01,True,Planiran,308
338,Jazz Vibes Field,51189,2025-12-24,2026-01-01,False,Planiran,186
339,Wild Era Hill,50501,2025-12-21,2025-12-31,False,Planiran,15
340,Harmony Aura Oasis,38108,2025-11-07,2025-11-11,True,Zavrsen,259
341,Golden Melody Stage,165,2025-11-28,2025-12-02,False,Zavrsen,459
342,Lunar Era Field,17854,2025-12-22,2025-12-26,False,Planiran,723
343,Solar Sound Valley,4632,2025-11-08,2025-11-18,True,Zavrsen,374
344,Nova Rhythm Field,89720,2025-12-26,2025-12-27,False,Planiran,225
345,Solar Fest Square,88811,2025-12-18,2025-12-19,True,Planiran,344
346,Wild Aura Valley,10452,2025-11-01,2025-11-10,True,Zavrsen,455
347,Nova Rhythm Valley,31646,2025-12-02,2025-12-08,True,Aktivan,715
348,Solar Horizon Valley,48161,2025-11-16,2025-11-26,False,Zavrsen,958
349,Jazz Wave Arena,75292,2025-11-28,2025-12-06,True,Aktivan,594
